DESTINO,SEXO,INGRESO_$,ENDEUDAMIENTO,PROGRAMA,EDAD_AÑO,MONTO_OTORGADO_$,FINANCIAMIENTO_INMUEBLE,Plazo_MESES
Construcción de vivienda,F,598.00,32.28,Clase social,29,"30,000.00",90%,360
Construcción de vivienda,M,"1,242.00",51.90,Clase social,29,"32,333.00",97%,360
Construcción de vivienda,M,"1,180.00",47.95,Clase social,29,"30,333.00",90%,360
Construcción de vivienda,M,"1,872.00",36.63,Clase social,29,"32,333.00",97%,360
Construcción de vivienda,M,"1,815.00",34.16,Clase social,29,"31,473.00",95%,360
Construcción de vivienda,M,"1,208.00",43.15,Clase social,29,"31,473.00",95%,360
Construcción de vivienda,M,"1,714.00",32.09,Clase social,29,"30,333.00",90%,360
Construcción de vivienda,M,"1,223.00",42.35,Clase social,29,"33,591.00",97%,360
Construcción de vivienda,M,"1,373.00",52.20,Clase social,29,"34,130.00",97%,360
Construcción de vivienda,M,"1,259.00",83.43,Clase media,29,"80,742.00",90%,360
Construcción de vivienda,M,"1,481.00",32.82,Clase media,29,"63,881.00",90%,360
Construcción de vivienda,M,"1,493.00",48.38,Clase social,29,"33,333.00",97%,360
Construcción de vivienda,M,"2,351.00",38.18,Clase social,29,"29,907.00",95%,360
Construcción de vivienda,F,"1,277.00",37.30,Clase social,29,"24,778.00",97%,360
Construcción de vivienda,F,"1,486.00",36.70,Clase social,29,"34,130.00",97%,360
Construcción de vivienda,F,567.00,44.86,Clase social,29,"32,693.00",97%,360
Construcción de vivienda,F,"2,385.00",45.05,Clase social,29,"33,778.00",96%,360
Construcción de vivienda,M,686.00,29.91,Clase media,29,"40,370.00",89%,360
Construcción de vivienda,F,"1,481.00",33.99,Clase media,29,"50,000.00",97%,360
Construcción de vivienda,M,"2,144.00",50.48,Clase social,29,"25,926.00",85%,240
Construcción de vivienda,M,"1,808.00",42.90,Clase social,29,"34,130.00",97%,360
Construcción de vivienda,F,"1,014.00",29.74,Clase social,29,"32,019.00",95%,360
Construcción de vivienda,M,"1,356.00",51.06,Clase social,29,"32,693.00",97%,360
Construcción de vivienda,F,"1,716.00",51.44,Clase social,29,"32,693.00",97%,360
Construcción de vivienda,M,"1,052.00",25.76,Clase social,29,"48,148.00",100%,360
Construcción de vivienda,M,974.00,28.65,Clase social,29,"29,630.00",97%,360
Construcción de vivienda,M,537.00,54.78,Clase social,29,"32,069.00",97%,360
Construcción de vivienda,F,"1,408.00",33.25,Clase social,29,"48,148.00",100%,360
Construcción de vivienda,M,"1,321.00",30.79,Clase media,29,"69,333.00",89%,360
Construcción de vivienda,M,926.00,26.63,Clase social,29,"48,148.00",100%,360
Construcción de vivienda,F,946.00,36.97,Clase social,29,"40,419.00",48%,360
Construcción de vivienda,F,"1,123.00",25.16,Clase social,29,"48,148.00",97%,360
Construcción de vivienda,M,"1,285.00",25.92,Clase social,29,"48,148.00",66%,360
Construcción de vivienda,M,"2,683.00",57.84,Clase media,29,"118,519.00",78%,360
Compra de vivienda,M,918.00,44.96,Clase social,29,"48,143.00",45%,360
Compra de vivienda,M,845.00,28.73,Clase social,29,"48,148.00",86%,360
Compra de vivienda,M,"2,239.00",42.55,Clase media,29,"80,926.00",98%,360
Compra de vivienda,M,773.00,48.74,Clase social,29,"46,296.00",100%,288
Compra de vivienda,F,"3,222.00",49.73,Clase media,29,"148,131.00",41%,360
Compra de vivienda,M,"1,167.00",28.88,Clase media,29,"48,148.00",91%,360
Compra de vivienda,F,"1,845.00",40.50,Clase media,29,"98,939.00",76%,360
Construcción de vivienda,F,649.00,47.77,Clase social,30,"48,148.00",100%,360
Compra de vivienda,F,"1,111.00",37.98,Clase social,30,"48,145.00",100%,360
Compra de vivienda,F,"2,212.00",54.40,Clase media,30,"31,481.00",48%,360
Construcción de vivienda,M,"2,040.00",49.13,Clase media,30,"44,798.00",89%,360
Construcción de vivienda,M,948.00,29.32,Clase social,30,"48,148.00",100%,360
Construcción de vivienda,F,893.00,40.60,Clase social,30,"48,148.00",100%,360
Construcción de vivienda,F,"2,475.00",34.90,Clase media,30,"35,333.00",90%,360
Compra de vivienda,F,"1,938.00",52.95,Clase media,30,"33,333.00",52%,360
Construcción de vivienda,M,"1,614.00",52.77,Clase social,30,"32,584.00",97%,360
Construcción de vivienda,M,"1,667.00",44.74,Clase media,30,"96,112.00",98%,360
