DESTINO,SEXO,INGRESO_$,ENDEUDAMIENTO,PROGRAMA,EDAD_AÑO,ENDEUDAMIENTO_%,MONTO_OTORGADO_$,Plazo_MESES
Construcción de vivienda,M,"1,079.00",33.68,Clase social,32,33.68,"48,148.00",360
Construcción de vivienda,F,963.00,36.09,Clase social,32,36.09,"48,148.00",361
Construcción de vivienda,F,"2,129.00",31.20,Clase social,32,31.20,"26,987.00",240
Construcción de vivienda,M,"1,463.00",41.91,Clase social,32,41.91,"32,333.00",360
Construcción de vivienda,M,940.00,54.30,Clase social,32,54.30,"32,333.00",360
Construcción de vivienda,M,"1,066.00",43.50,Clase social,32,43.50,"32,222.00",360
Construcción de vivienda,M,"1,643.00",44.30,Clase social,32,44.30,"33,411.00",360
Construcción de vivienda,M,"1,507.00",45.43,Clase social,32,45.43,"34,130.00",360
Construcción de vivienda,M,"2,387.00",52.33,Clase social,32,52.33,"32,593.00",300
Construcción de vivienda,F,979.00,45.24,Clase social,32,45.24,"30,593.00",360
Construcción de vivienda,M,"1,358.00",43.37,Clase social,32,43.37,"32,333.00",360
Compra de vivienda,F,"1,173.00",40.51,Clase media,32,40.51,"148,148.00",360
Compra de vivienda,F,"3,004.00",53.51,Clase media,32,53.51,"128,741.00",360
Construcción de vivienda,M,"2,309.00",30.33,Clase social,32,30.33,"31,278.00",360
Construcción de vivienda,M,830.00,51.65,Clase social,32,51.65,"32,693.00",360
Construcción de vivienda,F,"1,743.00",50.11,Clase social,32,50.11,"33,778.00",360
Construcción de vivienda,F,"2,187.00",41.12,Clase social,32,41.12,"34,130.00",360
Compra de vivienda,F,"5,090.00",50.21,Clase media,32,50.21,"130,108.00",360
Compra de vivienda,F,"4,890.00",52.96,Clase media,32,52.96,"124,146.00",360
Construcción de vivienda,F,"1,248.00",40.98,Clase social,32,40.98,"25,926.00",240
Construcción de vivienda,M,"1,588.00",42.46,Clase social,32,42.46,"25,926.00",240
Construcción de vivienda,M,"1,076.00",43.68,Clase social,32,43.68,"25,926.00",360
Construcción de vivienda,F,837.00,29.16,Clase social,32,29.16,"25,926.00",360
Construcción de vivienda,M,"2,041.00",53.38,Clase social,32,53.38,"25,926.00",240
Construcción de vivienda,M,"1,772.00",45.15,Clase media,32,45.15,"39,000.00",360
Construcción de vivienda,F,894.00,41.02,Clase social,32,41.02,"30,019.00",360
Construcción de vivienda,F,"2,169.00",55.06,Clase media,32,55.06,"25,030.00",240
Construcción de vivienda,F,"1,160.00",53.31,Clase social,32,53.31,"32,017.00",360
Construcción de vivienda,F,"1,277.00",51.36,Clase social,32,51.36,"48,148.00",360
Construcción de vivienda,M,791.00,40.05,Clase social,32,40.05,"32,080.00",360
Construcción de vivienda,F,"1,088.00",24.93,Clase social,32,24.93,"48,148.00",360
Compra de vivienda,F,"1,130.00",48.75,Clase media,32,48.75,"64,815.00",360
Construcción de vivienda,F,"2,316.00",38.79,Clase media,32,38.79,"74,074.00",366
Construcción de vivienda,F,"1,982.00",46.21,Clase media,32,46.21,"77,778.00",366
Construcción de vivienda,F,815.00,31.22,Clase media,32,31.22,"37,037.00",360
Construcción de vivienda,F,930.00,40.52,Clase social,32,40.52,"48,148.00",360
Construcción de vivienda,F,941.00,32.72,Clase social,32,32.72,"48,148.00",360
Construcción de vivienda,M,963.00,43.11,Clase social,32,43.11,"48,148.00",360
Compra de vivienda,M,981.00,47.85,Clase social,32,47.85,"48,148.00",360
Compra de vivienda,F,"2,918.00",35.20,Clase media,32,35.20,"133,333.00",360
Compra de vivienda,F,"1,426.00",39.90,Clase media,32,39.90,"62,963.00",360
Compra de vivienda,F,"1,669.00",51.26,Clase media,32,51.26,"78,329.00",360
Compra de vivienda,F,992.00,43.34,Clase social,32,43.34,"48,148.00",360
Compra de vivienda,F,"2,556.00",35.20,Clase media,32,35.20,"101,000.00",360
Compra de vivienda,M,"2,531.00",34.44,Clase media,32,34.44,"88,992.00",240
Construcción de vivienda,F,"1,359.00",50.97,Clase media,33,50.97,"78,635.00",300
Construcción de vivienda,M,"1,562.00",47.86,Clase media,33,47.86,"66,670.00",360
Compra de vivienda,M,"2,280.00",49.21,Clase media,33,49.21,"50,963.00",401
Construcción de vivienda,M,"1,181.00",36.61,Clase social,33,36.61,"32,693.00",360
Construcción de vivienda,F,"1,815.00",32.32,Clase media,33,32.32,"38,532.00",360
Construcción de vivienda,F,"2,055.00",50.85,Clase media,33,50.85,"60,000.00",360
Compra de vivienda,M,"1,706.00",38.08,Clase media,33,38.08,"90,000.00",360
Construcción de vivienda,F,822.00,41.55,Clase social,33,41.55,"48,148.00",360
Construcción de vivienda,M,870.00,33.39,Clase social,33,33.39,"48,148.00",360
Construcción de vivienda,M,"2,239.00",41.55,Clase media,33,41.55,"80,926.00",360
Construcción de vivienda,F,"1,285.00",27.92,Clase social,33,27.92,"48,148.00",360
Compra de vivienda,M,"1,720.00",40.80,Clase media,33,40.80,"28,333.00",360
Construcción de vivienda,F,"1,738.00",55.26,Clase social,33,55.26,"30,752.00",360
Construcción de vivienda,M,"1,598.00",48.06,Clase social,33,48.06,"32,693.00",360
